Sample,Stage,Embryo
MIIoocyte_1,MIIoocyte,MIIoocyte_1
MIIoocyte_2,MIIoocyte,MIIoocyte_2
MIIoocyte_3,MIIoocyte,MIIoocyte_3
zy_1,zy,zy_1
zy_2,zy,zy_2
zy_3,zy,zy_3
zy_4,zy,zy_4
early2cell_0r.1,early2cell,early2cell_0r
early2cell_0r.2,early2cell,early2cell_0r
early2cell_1.1,early2cell,early2cell_1
early2cell_1.2,early2cell,early2cell_1
early2cell_2.1,early2cell,early2cell_2
early2cell_2.2,early2cell,early2cell_2
early2cell_3.1,early2cell,early2cell_3
early2cell_3.2,early2cell,early2cell_3
mid2cell_0r.1,mid2cell,mid2cell_0r
mid2cell_0r.2,mid2cell,mid2cell_0r
mid2cell_3.1,mid2cell,mid2cell_3
mid2cell_3.2,mid2cell,mid2cell_3
mid2cell_4.1,mid2cell,mid2cell_4
mid2cell_4.2,mid2cell,mid2cell_4
mid2cell_5.1,mid2cell,mid2cell_5
mid2cell_5.2,mid2cell,mid2cell_5
mid2cell_6.1,mid2cell,mid2cell_6
mid2cell_6.2,mid2cell,mid2cell_6
mid2cell_7.1,mid2cell,mid2cell_7
mid2cell_7.2,mid2cell,mid2cell_7
late2cell_5.1,late2cell,late2cell_5
late2cell_5.2,late2cell,late2cell_5
late2cell_6.1,late2cell,late2cell_6
late2cell_6.2,late2cell,late2cell_6
late2cell_7.1,late2cell,late2cell_7
late2cell_7.2,late2cell,late2cell_7
late2cell_8.1,late2cell,late2cell_8
late2cell_8.2,late2cell,late2cell_8
late2cell_9.1,late2cell,late2cell_9
late2cell_9.2,late2cell,late2cell_9
X4cell_1.1,X4cell,X4cell_1
X4cell_1.2,X4cell,X4cell_1
X4cell_1.4,X4cell,X4cell_1
X4cell_2.1,X4cell,X4cell_2
X4cell_2.2,X4cell,X4cell_2
X4cell_2.3,X4cell,X4cell_2
X4cell_2.4,X4cell,X4cell_2
X4cell_3.1,X4cell,X4cell_3
X4cell_3.3,X4cell,X4cell_3
X4cell_3.4,X4cell,X4cell_3
X4cell_4.1,X4cell,X4cell_4
X4cell_4.2,X4cell,X4cell_4
X4cell_4.3,X4cell,X4cell_4
X4cell_4.4,X4cell,X4cell_4
X8cell_1.1,X8cell,X8cell_1
X8cell_1.2,X8cell,X8cell_1
X8cell_1.4,X8cell,X8cell_1
X8cell_1.5,X8cell,X8cell_1
X8cell_1.6,X8cell,X8cell_1
X8cell_1.7,X8cell,X8cell_1
X8cell_1.8,X8cell,X8cell_1
X8cell_2.1,X8cell,X8cell_2
X8cell_2.2,X8cell,X8cell_2
X8cell_2.3,X8cell,X8cell_2
X8cell_2.4,X8cell,X8cell_2
X8cell_2.6,X8cell,X8cell_2
X8cell_2.7,X8cell,X8cell_2
X8cell_2.8,X8cell,X8cell_2
X8cell_5.1,X8cell,X8cell_5
X8cell_5.2,X8cell,X8cell_5
X8cell_5.3,X8cell,X8cell_5
X8cell_5.4,X8cell,X8cell_5
X8cell_5.6,X8cell,X8cell_5
X8cell_5.7,X8cell,X8cell_5
X8cell_5.8,X8cell,X8cell_5
X8cell_8.1,X8cell,X8cell_8
X8cell_8.2,X8cell,X8cell_8
X8cell_8.3,X8cell,X8cell_8
X8cell_8.4,X8cell,X8cell_8
X8cell_8.6,X8cell,X8cell_8
X8cell_8.7,X8cell,X8cell_8
X8cell_8.8,X8cell,X8cell_8
X16cell_1.2,X16cell,X16cell_1
X16cell_1.3,X16cell,X16cell_1
X16cell_1.4,X16cell,X16cell_1
X16cell_1.5,X16cell,X16cell_1
X16cell_1.6,X16cell,X16cell_1
X16cell_1.7,X16cell,X16cell_1
X16cell_1.8,X16cell,X16cell_1
X16cell_1.9,X16cell,X16cell_1
X16cell_1.10,X16cell,X16cell_1
X16cell_1.11,X16cell,X16cell_1
X16cell_1.12,X16cell,X16cell_1
X16cell_1.13,X16cell,X16cell_1
X16cell_1.14,X16cell,X16cell_1
X16cell_1.15,X16cell,X16cell_1
X16cell_4.1,X16cell,X16cell_4
X16cell_4.2,X16cell,X16cell_4
X16cell_4.3,X16cell,X16cell_4
X16cell_4.4,X16cell,X16cell_4
X16cell_4.5,X16cell,X16cell_4
X16cell_4.6,X16cell,X16cell_4
X16cell_4.7,X16cell,X16cell_4
X16cell_4.8,X16cell,X16cell_4
X16cell_4.9,X16cell,X16cell_4
X16cell_4.10,X16cell,X16cell_4
X16cell_4.11,X16cell,X16cell_4
X16cell_5.1,X16cell,X16cell_5
X16cell_5.2,X16cell,X16cell_5
X16cell_5.3,X16cell,X16cell_5
X16cell_5.4,X16cell,X16cell_5
X16cell_5.5,X16cell,X16cell_5
X16cell_5.6,X16cell,X16cell_5
X16cell_5.7,X16cell,X16cell_5
X16cell_5.8,X16cell,X16cell_5
X16cell_5.9,X16cell,X16cell_5
X16cell_5.10,X16cell,X16cell_5
X16cell_5.11,X16cell,X16cell_5
X16cell_5.12,X16cell,X16cell_5
X16cell_5.13,X16cell,X16cell_5
X16cell_6.1,X16cell,X16cell_6
X16cell_6.2,X16cell,X16cell_6
X16cell_6.3,X16cell,X16cell_6
X16cell_6.4,X16cell,X16cell_6
X16cell_6.5,X16cell,X16cell_6
X16cell_6.6,X16cell,X16cell_6
X16cell_6.7,X16cell,X16cell_6
X16cell_6.8,X16cell,X16cell_6
X16cell_6.9,X16cell,X16cell_6
X16cell_6.10,X16cell,X16cell_6
X16cell_6.11,X16cell,X16cell_6
X16cell_6.12,X16cell,X16cell_6
earlyblast_2.1,earlyblast,earlyblast_2
earlyblast_2.2,earlyblast,earlyblast_2
earlyblast_2.3,earlyblast,earlyblast_2
earlyblast_2.4,earlyblast,earlyblast_2
earlyblast_2.5,earlyblast,earlyblast_2
earlyblast_2.6,earlyblast,earlyblast_2
earlyblast_2.7,earlyblast,earlyblast_2
earlyblast_2.8,earlyblast,earlyblast_2
earlyblast_2.10,earlyblast,earlyblast_2
earlyblast_2.12,earlyblast,earlyblast_2
earlyblast_2.15,earlyblast,earlyblast_2
earlyblast_2.16,earlyblast,earlyblast_2
earlyblast_2.17,earlyblast,earlyblast_2
earlyblast_2.19,earlyblast,earlyblast_2
earlyblast_2.22,earlyblast,earlyblast_2
earlyblast_3.1,earlyblast,earlyblast_3
earlyblast_3.2,earlyblast,earlyblast_3
earlyblast_3.3,earlyblast,earlyblast_3
earlyblast_3.4,earlyblast,earlyblast_3
earlyblast_3.6,earlyblast,earlyblast_3
earlyblast_3.7,earlyblast,earlyblast_3
earlyblast_3.8,earlyblast,earlyblast_3
earlyblast_3.9,earlyblast,earlyblast_3
earlyblast_3.10,earlyblast,earlyblast_3
earlyblast_3.12,earlyblast,earlyblast_3
earlyblast_3.13,earlyblast,earlyblast_3
earlyblast_3.14,earlyblast,earlyblast_3
earlyblast_3.15,earlyblast,earlyblast_3
earlyblast_3.16,earlyblast,earlyblast_3
earlyblast_3.17,earlyblast,earlyblast_3
earlyblast_4.1,earlyblast,earlyblast_4
earlyblast_4.2,earlyblast,earlyblast_4
earlyblast_4.3,earlyblast,earlyblast_4
earlyblast_4.5,earlyblast,earlyblast_4
earlyblast_4.6,earlyblast,earlyblast_4
earlyblast_4.8,earlyblast,earlyblast_4
earlyblast_4.9,earlyblast,earlyblast_4
earlyblast_4.12,earlyblast,earlyblast_4
earlyblast_4.13,earlyblast,earlyblast_4
earlyblast_4.14,earlyblast,earlyblast_4
earlyblast_4.16,earlyblast,earlyblast_4
earlyblast_4.17,earlyblast,earlyblast_4
earlyblast_4.18,earlyblast,earlyblast_4
midblast_1.1,midblast,midblast_1
midblast_1.2,midblast,midblast_1
midblast_1.3,midblast,midblast_1
midblast_1.4,midblast,midblast_1
midblast_1.5,midblast,midblast_1
midblast_1.6,midblast,midblast_1
midblast_1.8,midblast,midblast_1
midblast_1.9,midblast,midblast_1
midblast_1.10,midblast,midblast_1
midblast_1.11,midblast,midblast_1
midblast_1.12,midblast,midblast_1
midblast_1.13,midblast,midblast_1
midblast_1.14,midblast,midblast_1
midblast_1.15,midblast,midblast_1
midblast_1.16,midblast,midblast_1
midblast_1.17,midblast,midblast_1
midblast_1.18,midblast,midblast_1
midblast_1.19,midblast,midblast_1
midblast_1.20,midblast,midblast_1
midblast_1.22,midblast,midblast_1
midblast_1.23,midblast,midblast_1
midblast_1.24,midblast,midblast_1
midblast_2.1,midblast,midblast_2
midblast_2.2,midblast,midblast_2
midblast_2.3,midblast,midblast_2
midblast_2.4,midblast,midblast_2
midblast_2.5,midblast,midblast_2
midblast_2.6,midblast,midblast_2
midblast_2.7,midblast,midblast_2
midblast_2.8,midblast,midblast_2
midblast_2.9,midblast,midblast_2
midblast_2.10,midblast,midblast_2
midblast_2.11,midblast,midblast_2
midblast_2.12,midblast,midblast_2
midblast_2.13,midblast,midblast_2
midblast_2.14,midblast,midblast_2
midblast_2.15,midblast,midblast_2
midblast_2.16,midblast,midblast_2
midblast_2.17,midblast,midblast_2
midblast_2.18,midblast,midblast_2
midblast_2.23,midblast,midblast_2
midblast_2.24,midblast,midblast_2
midblast_3.1,midblast,midblast_3
midblast_3.2,midblast,midblast_3
midblast_3.3,midblast,midblast_3
midblast_3.4,midblast,midblast_3
midblast_3.5,midblast,midblast_3
midblast_3.6,midblast,midblast_3
midblast_3.7,midblast,midblast_3
midblast_3.8,midblast,midblast_3
midblast_3.9,midblast,midblast_3
midblast_3.10,midblast,midblast_3
midblast_3.11,midblast,midblast_3
midblast_3.12,midblast,midblast_3
midblast_3.13,midblast,midblast_3
midblast_3.14,midblast,midblast_3
midblast_3.15,midblast,midblast_3
midblast_3.17,midblast,midblast_3
midblast_3.18,midblast,midblast_3
midblast_3.23,midblast,midblast_3
lateblast_1.2,lateblast,lateblast_1
lateblast_1.4,lateblast,lateblast_1
lateblast_1.5,lateblast,lateblast_1
lateblast_1.6,lateblast,lateblast_1
lateblast_1.7,lateblast,lateblast_1
lateblast_1.8,lateblast,lateblast_1
lateblast_1.9,lateblast,lateblast_1
lateblast_1.10,lateblast,lateblast_1
lateblast_1.11,lateblast,lateblast_1
lateblast_1.13,lateblast,lateblast_1
lateblast_1.14,lateblast,lateblast_1
lateblast_1.16,lateblast,lateblast_1
lateblast_1.19,lateblast,lateblast_1
lateblast_1.20,lateblast,lateblast_1
lateblast_1.21,lateblast,lateblast_1
lateblast_1.23,lateblast,lateblast_1
lateblast_1.24,lateblast,lateblast_1
lateblast_1.26,lateblast,lateblast_1
lateblast_1.27,lateblast,lateblast_1
lateblast_2.1,lateblast,lateblast_2
lateblast_2.2,lateblast,lateblast_2
lateblast_2.3,lateblast,lateblast_2
lateblast_2.5,lateblast,lateblast_2
lateblast_2.7,lateblast,lateblast_2
lateblast_2.8,lateblast,lateblast_2
lateblast_2.9,lateblast,lateblast_2
lateblast_2.12,lateblast,lateblast_2
lateblast_2.14,lateblast,lateblast_2
lateblast_2.16,lateblast,lateblast_2
lateblast_2.17,lateblast,lateblast_2
